record_id,source,group,test_standard,LL,PL,PI,fines_pct,sand_pct,energy_kJm3,Gs,MDD_Mgm3,OMC_frac
bio_0004,zenodo:10.5281/zenodo.19242689,Kaolinite soil,SP,38.3,19.0,19.2,92.0,8.0,592.5,2.68,1.58,0.249
bio_0005,zenodo:10.5281/zenodo.19242689,"BC soil , North Karnataka, India",SP,64.0,31.0,33.0,72.0,24.0,592.5,2.5,1.77,0.1632
bio_0006,zenodo:10.5281/zenodo.19242689,"Undavalli in Guntur District, Andhra Pradesh",SP,72.0,27.0,45.0,95.0,5.0,592.5,2.68,1.51,0.25
bio_0008,zenodo:10.5281/zenodo.19242689,A factory in Iran,SP,37.8,19.1,18.7,100.0,0.0,592.5,2.63,1.59,0.2362999999999999
bio_0009,zenodo:10.5281/zenodo.19242689,"Gaziantep University campus, Turkey",SP,35.16,28.31,6.85,100.0,0.0,592.5,2.68,1.80796,0.1685
bio_0010,zenodo:10.5281/zenodo.19242689,"Serra Riccò – Genoa, Italy",SP,43.0,28.0,15.0,73.1,26.9,592.5,2.7,1.94,0.12
bio_0011,zenodo:10.5281/zenodo.19242689,Bentonite + Kaolin (B:K=25:75),SP,94.5,35.0,59.5,99.0,1.0,592.5,2.73,1.57,0.22
fs206_100KS0_MP,figshare:10.6084/m9.figshare.32955851,Experimental Work,MP,72.1,27.62,44.48,100.0,,2693.3,2.74,1.5321100917431192,0.2362999999999999
fs206_100KS0_RMP,figshare:10.6084/m9.figshare.32955851,Experimental Work,RMP,72.1,27.62,44.48,100.0,,1346.6,2.74,1.475025484199796,0.276
fs206_100KS0_RSP,figshare:10.6084/m9.figshare.32955851,Experimental Work,RSP,72.1,27.62,44.48,100.0,,355.2,2.74,1.3200815494393474,0.312
fs206_100KS0_SP,figshare:10.6084/m9.figshare.32955851,Experimental Work,SP,72.1,27.62,44.48,100.0,,592.5,2.74,1.3832823649337411,0.301
fs206_50BS50_MP,figshare:10.6084/m9.figshare.32955851,Experimental Work,MP,151.6,25.39999999999999,126.2,50.0,,2693.3,2.65,1.6819571865443423,0.2098
fs206_50BS50_RMP,figshare:10.6084/m9.figshare.32955851,Experimental Work,RMP,151.6,25.39999999999999,126.2,50.0,,1346.6,2.65,1.6513761467889907,0.216
fs206_50BS50_RSP,figshare:10.6084/m9.figshare.32955851,Experimental Work,RSP,151.6,25.39999999999999,126.2,50.0,,355.2,2.65,1.6106014271151885,0.24
fs206_50BS50_SP,figshare:10.6084/m9.figshare.32955851,Experimental Work,SP,151.6,25.39999999999999,126.2,50.0,,592.5,2.65,1.6309887869520896,0.2319999999999999
fs206_50KS50_MP,figshare:10.6084/m9.figshare.32955851,Experimental Work,MP,36.2,13.830000000000002,22.37,50.0,,2693.3,2.63,1.9367991845056065,0.118
fs206_50KS50_RMP,figshare:10.6084/m9.figshare.32955851,Experimental Work,RMP,36.2,13.830000000000002,22.37,50.0,,1346.6,2.63,1.926605504587156,0.126
fs206_50KS50_SP,figshare:10.6084/m9.figshare.32955851,Experimental Work,SP,36.2,13.830000000000002,22.37,50.0,,592.5,2.63,1.8144750254842,0.166
fs206_60KS40_MP,figshare:10.6084/m9.figshare.32955851,Experimental Work,MP,43.8,16.929999999999996,26.87,60.0,,2693.3,2.65,1.9041794087665649,0.132
fs206_60KS40_RMP,figshare:10.6084/m9.figshare.32955851,Experimental Work,RMP,43.8,16.929999999999996,26.87,60.0,,1346.6,2.65,1.855249745158002,0.142
fs206_60KS40_RSP,figshare:10.6084/m9.figshare.32955851,Experimental Work,RSP,43.8,16.929999999999996,26.87,60.0,,355.2,2.65,1.7125382262996942,0.206
fs206_60KS40_SP,figshare:10.6084/m9.figshare.32955851,Experimental Work,SP,43.8,16.929999999999996,26.87,60.0,,592.5,2.65,1.7533129459734962,0.1882
fs206_70KS30_MP,figshare:10.6084/m9.figshare.32955851,Experimental Work,MP,49.07,20.03,29.04,70.0,,2693.3,2.67,1.8583078491335367,0.155
fs206_70KS30_RMP,figshare:10.6084/m9.figshare.32955851,Experimental Work,RMP,49.07,20.03,29.04,70.0,,1346.6,2.67,1.8144750254842,0.1694999999999999
fs206_70KS30_RSP,figshare:10.6084/m9.figshare.32955851,Experimental Work,RSP,49.07,20.03,29.04,70.0,,355.2,2.67,1.6554536187563709,0.2289999999999999
fs206_70KS30_SP,figshare:10.6084/m9.figshare.32955851,Experimental Work,SP,49.07,20.03,29.04,70.0,,592.5,2.67,1.6819571865443423,0.212
fs206_80KS20_MP,figshare:10.6084/m9.figshare.32955851,Experimental Work,MP,55.11,22.11,33.0,80.0,,2693.3,2.7,1.7655453618756372,0.183
fs206_80KS20_RMP,figshare:10.6084/m9.figshare.32955851,Experimental Work,RMP,55.11,22.11,33.0,80.0,,1346.6,2.7,1.6717635066258918,0.191
fs206_80KS20_RSP,figshare:10.6084/m9.figshare.32955851,Experimental Work,RSP,55.11,22.11,33.0,80.0,,355.2,2.7,1.549439347604485,0.252
fs206_80KS20_SP,figshare:10.6084/m9.figshare.32955851,Experimental Work,SP,55.11,22.11,33.0,80.0,,592.5,2.7,1.5779816513761469,0.245
fs206_90KS10_MP,figshare:10.6084/m9.figshare.32955851,Experimental Work,MP,61.1,24.9,36.2,90.0,,2693.3,2.72,1.6462793068297654,0.2052
fs206_90KS10_RMP,figshare:10.6084/m9.figshare.32955851,Experimental Work,RMP,61.1,24.9,36.2,90.0,,1346.6,2.72,1.5361875637104994,0.236
fs206_90KS10_RSP,figshare:10.6084/m9.figshare.32955851,Experimental Work,RSP,61.1,24.9,36.2,90.0,,355.2,2.72,1.475025484199796,0.281
fs206_90KS10_SP,figshare:10.6084/m9.figshare.32955851,Experimental Work,SP,61.1,24.9,36.2,90.0,,592.5,2.72,1.490316004077472,0.276
fs206_Alevoor_MP,figshare:10.6084/m9.figshare.32955851,http://hdl.handle.net/10603/640117,MP,47.4,41.3,6.1,61.0,,2693.3,2.35,1.7227319062181443,0.139
fs206_Alevoor_SP,figshare:10.6084/m9.figshare.32955851,http://hdl.handle.net/10603/640107,SP,47.4,41.3,6.1,61.0,,592.5,2.35,1.5188583078491336,0.2019999999999999
fs206_Ankola_MP,figshare:10.6084/m9.figshare.32955851,"Bhagyashree, udayshankar",MP,31.7,22.2,9.5,4.3,,2693.3,2.7,1.9062181447502544,0.088
fs206_Apsarakonda_MP,figshare:10.6084/m9.figshare.32955851,"Bhagyashree, udayshankar",MP,36.0,23.4,12.6,2.0,,2693.3,2.54,1.8348623853211008,0.111
fs206_Apsarakonda_SP,figshare:10.6084/m9.figshare.32955851,"Bhagyashree, udayshankar",SP,36.0,23.4,12.6,2.0,,592.5,2.54,1.6513761467889907,0.131
fs206_Baijpe_SP,figshare:10.6084/m9.figshare.32955851,"Bhagyashree, udayshankar",SP,26.5,15.1,11.4,29.0,,592.5,2.89,1.9062181447502544,0.104
fs206_Bannur (S5)_MP,figshare:10.6084/m9.figshare.32955851,DOI: 10.13189/cea.2023.110219,MP,68.0,30.0,38.0,100.0,,2693.3,2.69,1.6649999999999998,0.2
fs206_Bannur (S5)_SP,figshare:10.6084/m9.figshare.32955851,DOI: 10.13189/cea.2023.110212,SP,68.0,30.0,38.0,100.0,,592.5,2.69,1.432,0.28
fs206_Behalli_MP,figshare:10.6084/m9.figshare.32955851,"Bhagyashree, udayshankar",MP,28.1,17.200000000000003,10.9,4.1,,2693.3,2.62,1.885830784913353,0.079
fs206_Behalli_SP,figshare:10.6084/m9.figshare.32955851,"Bhagyashree, udayshankar",SP,28.1,17.200000000000003,10.9,4.1,,592.5,2.62,1.5800203873598369,0.084
fs206_Benjana padavu_MP,figshare:10.6084/m9.figshare.32955851,"Bhagyashree, udayshankar",MP,34.8,26.9,7.9,1.9,,2693.3,2.7,1.8960244648318043,0.138
fs206_Benjana padavu_SP,figshare:10.6084/m9.figshare.32955851,"Bhagyashree, udayshankar",SP,34.8,26.9,7.9,1.9,,592.5,2.7,1.7023445463812434,0.16
fs206_Bentonite + Kaolinite_MP,figshare:10.6084/m9.figshare.32955851,doi:10.3208/sandf.48.142,MP,150.5,39.2,111.3,100.0,,2693.3,2.58,1.600407747196738,0.208
fs206_Bentonite + Kaolinite_RSP,figshare:10.6084/m9.figshare.32955851,doi:10.3208/sandf.48.139,RSP,150.5,39.2,111.3,100.0,,355.2,2.58,1.325178389398573,0.322
fs206_Bentonite + Kaolinite_SP,figshare:10.6084/m9.figshare.32955851,doi:10.3208/sandf.48.140,SP,150.5,39.2,111.3,100.0,,592.5,2.58,1.4067278287461773,0.285
fs206_Bentonite + Weathered clay_MP,figshare:10.6084/m9.figshare.32955851,doi:10.3208/sandf.48.146,MP,152.8,48.20000000000002,104.6,88.7,,2693.3,2.6,1.529051987767584,0.239
fs206_Bentonite + Weathered clay_RSP,figshare:10.6084/m9.figshare.32955851,doi:10.3208/sandf.48.143,RSP,152.8,48.20000000000002,104.6,88.7,,355.2,2.6,1.253822629969419,0.368
fs206_Bentonite + Weathered clay_SP,figshare:10.6084/m9.figshare.32955851,doi:10.3208/sandf.48.144,SP,152.8,48.20000000000002,104.6,88.7,,592.5,2.6,1.3353720693170232,0.326
