record_id,source,reference_or_doi,test_standard,energy_kJm3,gravel_pct,sand_pct,silt_pct,clay_pct,fines_pct,D10,D30,D50,D60,Cu,Cc,LL,PL,PI,uscs,Gs,Gs_imputed,MDD_Mgm3,OMC_frac,S_opt
bio_0000,zenodo:10.5281/zenodo.19242689,"Hoj Village, Papum Pare District, Arunachal Pradesh, India",SP,592.5,,,,,,,,0.36,,,,22.8,,,,2.69,False,1.783,0.1148,0.6070692348401321
bio_0001,zenodo:10.5281/zenodo.19242689,"Hilltop area, Nsukka, Nigeria ",SP,592.5,,26.0,,,,,,0.1,,,,36.5,10.7,25.8,CL,2.65,False,1.73,0.198,0.9866641304347828
bio_0002,zenodo:10.5281/zenodo.19242689,"The center of Afyonkarahisar, Turkey",SP,592.5,,,,,,,,2.276,,,,48.6,23.0,,CL,2.62,False,1.58,0.2189999999999999,0.8717042307692304
bio_0003,zenodo:10.5281/zenodo.19242689," Lianyungang City, Jiangsu Province, China",SP,592.5,,,,,,,,,,,,41.18,19.86,21.32,Silty Clay,2.7,False,1.61,0.2062999999999999,0.8227395412844033
bio_0004,zenodo:10.5281/zenodo.19242689,Kaolinite soil,SP,592.5,,8.0,26.0,66.0,92.0,,,0.0002099999999999,,,,38.3,19.0,19.2,CL,2.68,False,1.58,0.249,0.958514181818182
bio_0005,zenodo:10.5281/zenodo.19242689,"BC soil , North Karnataka, India",SP,592.5,,24.0,51.0,21.0,72.0,,,0.0157,,,,64.0,31.0,33.0,CH,2.5,False,1.77,0.1632,0.9892602739726026
bio_0006,zenodo:10.5281/zenodo.19242689,"Undavalli in Guntur District, Andhra Pradesh ",SP,592.5,,5.0,49.0,46.0,95.0,,,0.003,,,,72.0,27.0,45.0,CH,2.68,False,1.51,0.25,0.8647008547008546
bio_0007,zenodo:10.5281/zenodo.19242689,"Kadipaten, Majalengka, Province of West Java, Indonesia",SP,592.5,,,,,,,,,,,,66.91,21.0,45.58,,2.47,False,1.496,0.2453999999999999,0.9309881396303898
bio_0008,zenodo:10.5281/zenodo.19242689,A factory in Iran,SP,592.5,,0.0,33.0,67.0,100.0,,,0.0101,,,,37.8,19.1,18.7,CL,2.63,False,1.59,0.2362999999999999,0.9501304903846152
bio_0009,zenodo:10.5281/zenodo.19242689,"Gaziantep University campus, Turkey",SP,592.5,,0.0,0.0,100.0,100.0,,,,,,,35.16,28.31,6.85,,2.68,True,1.80796,0.1685,0.9362398247786798
bio_0010,zenodo:10.5281/zenodo.19242689,"Serra Riccò – Genoa, Italy",SP,592.5,,26.9,57.5,15.6,73.1,,,0.018,,,,43.0,28.0,15.0,ML,2.7,False,1.94,0.12,0.827052631578947
bio_0011,zenodo:10.5281/zenodo.19242689,Bentonite + Kaolin (B:K=25:75),SP,592.5,,1.0,46.0,53.0,99.0,,,0.00189,,,,94.5,35.0,59.5,CH,2.73,False,1.57,0.22,0.8128810344827588
bio_0012,zenodo:10.5281/zenodo.19242689,"(Yongwu Road-Jinlun Road) in Nanning, Guangxi",SP,592.5,,,,,,,,,,,,59.3,20.9,38.4,medium-expansive soil/ high liquid-limit clay,2.68,False,1.78,0.1438,0.7622039111111111
bio_0013,zenodo:10.5281/zenodo.19242689,Carbonaceous mudstone,SP,592.5,,,,,,,,1.21,,,,34.1,26.7,7.4,ML,2.66,False,2.01,0.1085999999999999,0.8932934769230756
bio_0014,zenodo:10.5281/zenodo.19242689,"Çankırı,Turkey",SP,592.5,,,,10.0,,,,0.0159,,,,40.0,23.0,17.0,CL,2.77,False,1.83,0.15,0.8088989361702129
bio_0015,zenodo:10.5281/zenodo.19242689,Commercial clay,SP,592.5,,,,,,,,0.00045,,,,58.0,40.0,18.0,OH,2.68,True,1.17267,0.405,0.8444176245414078
fs206_100BS0_MP,figshare:10.6084/m9.figshare.32955851,Experimental Work,MP,2693.3,,,,,100.0,,,,,,,,49.700000000000045,,,2.78,False,1.3914373088685017,0.306,0.8524410870810026
fs206_100BS0_RMP,figshare:10.6084/m9.figshare.32955851,Experimental Work,RMP,1346.6,,,,,100.0,,,,,,,,49.700000000000045,,,2.78,False,1.3496432212028542,0.317,0.831531407232144
fs206_100BS0_RSP,figshare:10.6084/m9.figshare.32955851,Experimental Work,RSP,355.2,,,,,100.0,,,,,,,,49.700000000000045,,,2.78,False,1.2487257900101936,0.335,0.7594579211545887
fs206_100BS0_SP,figshare:10.6084/m9.figshare.32955851,Experimental Work,SP,592.5,,,,,100.0,,,,,,,,49.700000000000045,,,2.78,False,1.2986748216106014,0.3274,0.7979459722814792
fs206_100KS0_MP,figshare:10.6084/m9.figshare.32955851,Experimental Work,MP,2693.3,,,,,100.0,,,,,,,72.1,27.62,44.48,,2.74,False,1.5321100917431192,0.2362999999999999,0.8212528786267653
fs206_100KS0_RMP,figshare:10.6084/m9.figshare.32955851,Experimental Work,RMP,1346.6,,,,,100.0,,,,,,,72.1,27.62,44.48,,2.74,False,1.475025484199796,0.276,0.8818148177994101
fs206_100KS0_RSP,figshare:10.6084/m9.figshare.32955851,Experimental Work,RSP,355.2,,,,,100.0,,,,,,,72.1,27.62,44.48,,2.74,False,1.3200815494393474,0.312,0.7947719212600682
fs206_100KS0_SP,figshare:10.6084/m9.figshare.32955851,Experimental Work,SP,592.5,,,,,100.0,,,,,,,72.1,27.62,44.48,,2.74,False,1.3832823649337411,0.301,0.8408885299111906
fs206_50BS50_MP,figshare:10.6084/m9.figshare.32955851,Experimental Work,MP,2693.3,,,,,50.0,,,,,,,151.6,25.39999999999999,126.2,,2.65,False,1.6819571865443423,0.2098,0.9659879955773178
fs206_50BS50_RMP,figshare:10.6084/m9.figshare.32955851,Experimental Work,RMP,1346.6,,,,,50.0,,,,,,,151.6,25.39999999999999,126.2,,2.65,False,1.6513761467889907,0.216,0.9465502985760218
