curve_id,source_doi,source_title,n_points,fit_rmse,w_opt,S_opt,k_d,k_w,k_d_spread,k_w_spread,k_d_at_bound,k_w_at_bound,k_d_identified,k_w_identified,MDD_Mgm3,OMC_frac,venue,venue_class
curve_0002,10.14525/jjce.v19i1.10,Experimental Study on the Stabilization of Expansive Soil with Blended Fine Cinder Gravel ,4,0.0036,0.23888,0.7595,2.324,0.0,251.9044,0.0,False,True,False,False,1.4542,0.23888,Jordan Journal of Civil Engineering,journal
curve_0003,10.14525/jjce.v19i1.10,Experimental Study on the Stabilization of Expansive Soil with Blended Fine Cinder Gravel ,4,0.0014,0.14339,0.573,1.9431,0.5032,2.7317,0.0,False,False,False,True,1.6042,0.14339,Jordan Journal of Civil Engineering,journal
curve_0004,10.14525/jjce.v19i1.10,Experimental Study on the Stabilization of Expansive Soil with Blended Fine Cinder Gravel ,4,0.0034,0.13686,0.5934,1.8798,0.3699,5.086,0.0,False,False,False,True,1.6562,0.13686,Jordan Journal of Civil Engineering,journal
curve_0005,10.14525/jjce.v19i1.10,Experimental Study on the Stabilization of Expansive Soil with Blended Fine Cinder Gravel ,4,0.0,0.14578,0.6379,1.4756,0.3161,0.0,0.0,False,False,True,True,1.662,0.14578,Jordan Journal of Civil Engineering,journal
curve_0006,10.14525/jjce.v19i1.10,Experimental Study on the Stabilization of Expansive Soil with Blended Fine Cinder Gravel ,4,0.0,0.17359,0.7414,1.0825,0.0042,0.0,0.0,False,False,True,True,1.6468,0.17359,Jordan Journal of Civil Engineering,journal
curve_0007,10.56726/irjmets44189,STABILIZATION OF LATERITE SOIL USING FGD GYPSUM FOR PAVEMENT CONSTRUCTION,4,0.005,0.11959,0.8208,2.0527,0.0,0.0,0.0,False,True,True,False,1.9274,0.11959,International Research Journal of Modernization in Engineering Technology and Science,low_assurance
curve_0008,10.56726/irjmets44189,STABILIZATION OF LATERITE SOIL USING FGD GYPSUM FOR PAVEMENT CONSTRUCTION,4,0.0,0.11179,0.7356,2.59,0.0921,0.0,0.0,False,False,True,True,1.9043,0.11179,International Research Journal of Modernization in Engineering Technology and Science,low_assurance
curve_0009,10.34117/bjdv11n5-028,The influence of rice husk ash and spent catalyst RCC 15 on the unconfined compressive str,4,0.0,0.29049,0.8193,3.5064,0.2065,0.0,0.0,False,False,True,True,1.3742,0.29049,Brazilian Journal of Development,journal
curve_0010,10.21660/2020.77.24546,INVESTIGATION OF CBR-VALUES OF GRANULAR SUB BASE IN VARIOUS DEGREE OF SATURATION (DOS),5,0.0,0.13984,0.7701,1.3632,0.5004,0.0,0.0,False,False,True,True,1.8027,0.13984,International Journal of Geomate,journal
curve_0011,,三郡変成岩風化土の土工上の問題とその改良,4,0.0111,0.35519,0.9493,1.0903,0.5441,0.0,0.4559,False,False,True,False,1.3381,0.35519,Institutional Repositories DataBase (IRDB),journal
curve_0012,10.28991/cej-2019-03091277,The Effect of Lining Material on the Permeability of Clayey Soil,6,0.0214,0.18022,0.9407,1.5697,0.0111,0.0,0.0,False,False,True,True,1.7708,0.18022,Civil Engineering Journal,journal
curve_0013,10.28991/cej-2019-03091277,The Effect of Lining Material on the Permeability of Clayey Soil,4,0.0387,0.1563,0.8625,2.6292,0.5023,0.0,0.3238,False,False,True,False,1.8039,0.1563,Civil Engineering Journal,journal
curve_0014,10.28991/cej-2019-03091277,The Effect of Lining Material on the Permeability of Clayey Soil,5,0.0039,0.19075,0.9594,1.5999,0.0,0.0,0.0,False,True,True,False,1.7484,0.19075,Civil Engineering Journal,journal
curve_0015,10.28991/cej-2019-03091277,The Effect of Lining Material on the Permeability of Clayey Soil,5,0.0014,0.1961,0.9634,1.5979,0.0,0.0,0.0,False,True,True,False,1.7341,0.1961,Civil Engineering Journal,journal
