curve_id,source_doi,w_pct,rho_d_Mgm3
curve_0002,10.14525/jjce.v19i1.10,22.822,1.4139
curve_0002,10.14525/jjce.v19i1.10,24.01,1.4511
curve_0002,10.14525/jjce.v19i1.10,26.714,1.3845
curve_0002,10.14525/jjce.v19i1.10,28.434,1.3326
curve_0003,10.14525/jjce.v19i1.10,12.189,1.5042
curve_0003,10.14525/jjce.v19i1.10,16.317,1.5633
curve_0003,10.14525/jjce.v19i1.10,21.443,1.471
curve_0003,10.14525/jjce.v19i1.10,24.293,1.4336
curve_0004,10.14525/jjce.v19i1.10,11.545,1.56
curve_0004,10.14525/jjce.v19i1.10,14.726,1.6292
curve_0004,10.14525/jjce.v19i1.10,17.778,1.5447
curve_0004,10.14525/jjce.v19i1.10,20.312,1.4981
curve_0005,10.14525/jjce.v19i1.10,10.397,1.5588
curve_0005,10.14525/jjce.v19i1.10,13.992,1.6497
curve_0005,10.14525/jjce.v19i1.10,18.854,1.5489
curve_0005,10.14525/jjce.v19i1.10,21.61,1.4875
curve_0006,10.14525/jjce.v19i1.10,12.082,1.6277
curve_0006,10.14525/jjce.v19i1.10,16.159,1.643
curve_0006,10.14525/jjce.v19i1.10,19.341,1.5776
curve_0006,10.14525/jjce.v19i1.10,21.063,1.5221
curve_0007,10.56726/irjmets44189,8.249,1.6991
curve_0007,10.56726/irjmets44189,10.819,1.869
curve_0007,10.56726/irjmets44189,12.178,1.9248
curve_0007,10.56726/irjmets44189,14.408,1.8158
curve_0008,10.56726/irjmets44189,8.759,1.6746
curve_0008,10.56726/irjmets44189,9.949,1.7983
curve_0008,10.56726/irjmets44189,12.678,1.8399
curve_0008,10.56726/irjmets44189,13.848,1.793
curve_0009,10.34117/bjdv11n5-028,27.367,1.2741
curve_0009,10.34117/bjdv11n5-028,28.2,1.3244
curve_0009,10.34117/bjdv11n5-028,30.088,1.3555
curve_0009,10.34117/bjdv11n5-028,32.354,1.3169
curve_0010,10.21660/2020.77.24546,11.498,1.7602
curve_0010,10.21660/2020.77.24546,12.598,1.7802
curve_0010,10.21660/2020.77.24546,13.198,1.7902
curve_0010,10.21660/2020.77.24546,14.198,1.7982
curve_0010,10.21660/2020.77.24546,15.597,1.7702
curve_0011,,11.77,1.2778
curve_0011,,20.959,1.2895
curve_0011,,30.109,1.3384
curve_0011,,39.259,1.3139
curve_0012,10.28991/cej-2019-03091277,8.373,1.5128
curve_0012,10.28991/cej-2019-03091277,12.499,1.5966
curve_0012,10.28991/cej-2019-03091277,16.97,1.762
curve_0012,10.28991/cej-2019-03091277,17.625,1.7773
curve_0012,10.28991/cej-2019-03091277,21.732,1.6565
curve_0012,10.28991/cej-2019-03091277,24.061,1.5921
curve_0013,10.28991/cej-2019-03091277,12.545,1.5812
curve_0013,10.28991/cej-2019-03091277,14.242,1.7123
curve_0013,10.28991/cej-2019-03091277,18.093,1.7604
curve_0013,10.28991/cej-2019-03091277,27.531,1.6196
curve_0014,10.28991/cej-2019-03091277,10.317,1.5106
curve_0014,10.28991/cej-2019-03091277,13.042,1.6107
curve_0014,10.28991/cej-2019-03091277,18.791,1.7407
curve_0014,10.28991/cej-2019-03091277,22.447,1.6512
curve_0014,10.28991/cej-2019-03091277,23.987,1.6007
curve_0015,10.28991/cej-2019-03091277,9.704,1.4627
curve_0015,10.28991/cej-2019-03091277,12.963,1.5798
curve_0015,10.28991/cej-2019-03091277,19.005,1.7216
curve_0015,10.28991/cej-2019-03091277,22.561,1.6479
curve_0015,10.28991/cej-2019-03091277,26.305,1.5463
curve_0016,10.20961/ijcee.v9i1.64990,6.984,1.8072
curve_0016,10.20961/ijcee.v9i1.64990,8.979,1.8542
curve_0016,10.20961/ijcee.v9i1.64990,10.983,1.877
curve_0016,10.20961/ijcee.v9i1.64990,12.983,1.8361
curve_0016,10.20961/ijcee.v9i1.64990,14.978,1.7812
curve_0017,10.1051/e3sconf/20199218002,21.258,1.5832
curve_0017,10.1051/e3sconf/20199218002,21.645,1.5851
curve_0017,10.1051/e3sconf/20199218002,22.055,1.586
curve_0017,10.1051/e3sconf/20199218002,22.442,1.5865
curve_0017,10.1051/e3sconf/20199218002,22.852,1.586
curve_0017,10.1051/e3sconf/20199218002,23.24,1.5846
curve_0017,10.1051/e3sconf/20199218002,23.65,1.5828
curve_0017,10.1051/e3sconf/20199218002,24.037,1.5795
curve_0017,10.1051/e3sconf/20199218002,24.448,1.5762
curve_0017,10.1051/e3sconf/20199218002,24.835,1.5721
curve_0017,10.1051/e3sconf/20199218002,25.245,1.5674
curve_0017,10.1051/e3sconf/20199218002,25.633,1.5618
curve_0017,10.1051/e3sconf/20199218002,26.043,1.5562
curve_0017,10.1051/e3sconf/20199218002,26.43,1.5497
curve_0017,10.1051/e3sconf/20199218002,26.817,1.5432
curve_0017,10.1051/e3sconf/20199218002,27.227,1.5357
curve_0017,10.1051/e3sconf/20199218002,27.615,1.5287
curve_0017,10.1051/e3sconf/20199218002,28.025,1.5204
curve_0017,10.1051/e3sconf/20199218002,28.412,1.5125
curve_0017,10.1051/e3sconf/20199218002,28.822,1.5041
curve_0017,10.1051/e3sconf/20199218002,29.209,1.4957
curve_0017,10.1051/e3sconf/20199218002,29.62,1.4869
curve_0017,10.1051/e3sconf/20199218002,30.007,1.478
curve_0017,10.1051/e3sconf/20199218002,30.417,1.4687
curve_0017,10.1051/e3sconf/20199218002,30.805,1.4598
curve_0018,10.1051/e3sconf/20199218002,23.809,1.1474
curve_0018,10.1051/e3sconf/20199218002,24.379,1.1483
curve_0018,10.1051/e3sconf/20199218002,24.949,1.1488
curve_0018,10.1051/e3sconf/20199218002,25.519,1.1497
curve_0018,10.1051/e3sconf/20199218002,26.088,1.1507
curve_0018,10.1051/e3sconf/20199218002,26.681,1.1516
curve_0018,10.1051/e3sconf/20199218002,27.25,1.1525
curve_0018,10.1051/e3sconf/20199218002,27.82,1.1535
curve_0018,10.1051/e3sconf/20199218002,28.389,1.1549
curve_0018,10.1051/e3sconf/20199218002,28.959,1.1563
curve_0018,10.1051/e3sconf/20199218002,29.529,1.1577
curve_0018,10.1051/e3sconf/20199218002,30.098,1.1591
curve_0018,10.1051/e3sconf/20199218002,30.691,1.1609
curve_0018,10.1051/e3sconf/20199218002,31.26,1.1628
curve_0018,10.1051/e3sconf/20199218002,31.83,1.1647
curve_0018,10.1051/e3sconf/20199218002,32.399,1.1674
curve_0018,10.1051/e3sconf/20199218002,32.969,1.1698
curve_0018,10.1051/e3sconf/20199218002,33.538,1.1721
curve_0018,10.1051/e3sconf/20199218002,34.109,1.1749
curve_0018,10.1051/e3sconf/20199218002,34.678,1.1777
curve_0018,10.1051/e3sconf/20199218002,35.248,1.18
curve_0018,10.1051/e3sconf/20199218002,35.84,1.1833
curve_0018,10.1051/e3sconf/20199218002,36.41,1.1861
curve_0018,10.1051/e3sconf/20199218002,36.979,1.1893
curve_0018,10.1051/e3sconf/20199218002,37.549,1.1921
curve_0019,10.1051/e3sconf/20199218002,37.549,1.1921
curve_0019,10.1051/e3sconf/20199218002,38.05,1.1949
curve_0019,10.1051/e3sconf/20199218002,38.551,1.1977
curve_0019,10.1051/e3sconf/20199218002,39.053,1.2
curve_0019,10.1051/e3sconf/20199218002,39.554,1.2028
curve_0019,10.1051/e3sconf/20199218002,40.056,1.2052
curve_0019,10.1051/e3sconf/20199218002,40.557,1.207
curve_0019,10.1051/e3sconf/20199218002,41.058,1.2093
curve_0019,10.1051/e3sconf/20199218002,41.559,1.2103
curve_0019,10.1051/e3sconf/20199218002,42.06,1.2112
curve_0019,10.1051/e3sconf/20199218002,42.562,1.2112
curve_0019,10.1051/e3sconf/20199218002,43.063,1.2107
curve_0019,10.1051/e3sconf/20199218002,43.564,1.2093
curve_0019,10.1051/e3sconf/20199218002,44.043,1.2079
curve_0019,10.1051/e3sconf/20199218002,44.544,1.2047
curve_0019,10.1051/e3sconf/20199218002,45.045,1.2014
curve_0019,10.1051/e3sconf/20199218002,45.547,1.1972
curve_0019,10.1051/e3sconf/20199218002,46.048,1.1926
curve_0019,10.1051/e3sconf/20199218002,46.549,1.1875
curve_0019,10.1051/e3sconf/20199218002,47.05,1.1823
curve_0019,10.1051/e3sconf/20199218002,47.551,1.1763
curve_0019,10.1051/e3sconf/20199218002,48.052,1.1702
curve_0019,10.1051/e3sconf/20199218002,48.555,1.1637
curve_0019,10.1051/e3sconf/20199218002,49.056,1.1567
curve_0019,10.1051/e3sconf/20199218002,49.557,1.1502
curve_0020,10.1051/e3sconf/20199218002,26.248,1.4603
curve_0020,10.1051/e3sconf/20199218002,26.658,1.4608
curve_0020,10.1051/e3sconf/20199218002,27.068,1.4608
curve_0020,10.1051/e3sconf/20199218002,27.478,1.4598
curve_0020,10.1051/e3sconf/20199218002,27.888,1.4584
curve_0020,10.1051/e3sconf/20199218002,28.298,1.4561
curve_0020,10.1051/e3sconf/20199218002,28.708,1.4533
curve_0020,10.1051/e3sconf/20199218002,29.118,1.4496
curve_0020,10.1051/e3sconf/20199218002,29.529,1.4445
curve_0020,10.1051/e3sconf/20199218002,29.939,1.4393
curve_0020,10.1051/e3sconf/20199218002,30.349,1.4338
curve_0020,10.1051/e3sconf/20199218002,30.759,1.4277
curve_0020,10.1051/e3sconf/20199218002,31.169,1.4212
curve_0020,10.1051/e3sconf/20199218002,31.579,1.4147
curve_0020,10.1051/e3sconf/20199218002,31.989,1.4077
curve_0020,10.1051/e3sconf/20199218002,32.399,1.4007
curve_0020,10.1051/e3sconf/20199218002,32.809,1.3937
curve_0020,10.1051/e3sconf/20199218002,33.22,1.3867
curve_0020,10.1051/e3sconf/20199218002,33.63,1.3798
curve_0020,10.1051/e3sconf/20199218002,34.04,1.3728
curve_0020,10.1051/e3sconf/20199218002,34.451,1.3658
curve_0020,10.1051/e3sconf/20199218002,34.861,1.3583
curve_0020,10.1051/e3sconf/20199218002,35.271,1.3514
curve_0020,10.1051/e3sconf/20199218002,35.681,1.3439
curve_0020,10.1051/e3sconf/20199218002,36.091,1.3365
curve_0021,10.1051/e3sconf/20199218002,15.744,1.7252
curve_0021,10.1051/e3sconf/20199218002,15.926,1.7294
curve_0021,10.1051/e3sconf/20199218002,16.131,1.735
curve_0021,10.1051/e3sconf/20199218002,16.313,1.7401
curve_0021,10.1051/e3sconf/20199218002,16.518,1.7457
curve_0021,10.1051/e3sconf/20199218002,16.7,1.7504
curve_0021,10.1051/e3sconf/20199218002,16.906,1.755
curve_0021,10.1051/e3sconf/20199218002,17.088,1.7583
curve_0021,10.1051/e3sconf/20199218002,17.293,1.7615
curve_0021,10.1051/e3sconf/20199218002,17.475,1.7639
curve_0021,10.1051/e3sconf/20199218002,17.703,1.7648
curve_0021,10.1051/e3sconf/20199218002,17.908,1.7634
curve_0021,10.1051/e3sconf/20199218002,18.113,1.7597
curve_0021,10.1051/e3sconf/20199218002,18.295,1.7555
curve_0021,10.1051/e3sconf/20199218002,18.477,1.7504
curve_0021,10.1051/e3sconf/20199218002,18.682,1.7448
curve_0021,10.1051/e3sconf/20199218002,18.865,1.7387
curve_0021,10.1051/e3sconf/20199218002,19.07,1.7322
curve_0021,10.1051/e3sconf/20199218002,19.252,1.7266
curve_0021,10.1051/e3sconf/20199218002,19.457,1.7196
curve_0021,10.1051/e3sconf/20199218002,19.731,1.7117
curve_0021,10.1051/e3sconf/20199218002,20.187,1.6982
curve_0021,10.1051/e3sconf/20199218002,20.688,1.6829
curve_0021,10.1051/e3sconf/20199218002,21.258,1.6656
curve_0021,10.1051/e3sconf/20199218002,22.032,1.6419
curve_0022,10.1051/e3sconf/20199218002,7.404,2.0553
curve_0022,10.1051/e3sconf/20199218002,7.496,2.0572
curve_0022,10.1051/e3sconf/20199218002,7.564,2.0605
curve_0022,10.1051/e3sconf/20199218002,7.678,2.0642
curve_0022,10.1051/e3sconf/20199218002,7.769,2.0665
curve_0022,10.1051/e3sconf/20199218002,7.837,2.0693
curve_0022,10.1051/e3sconf/20199218002,7.928,2.0726
curve_0022,10.1051/e3sconf/20199218002,8.019,2.0745
curve_0022,10.1051/e3sconf/20199218002,8.088,2.0772
curve_0022,10.1051/e3sconf/20199218002,8.179,2.0796
curve_0022,10.1051/e3sconf/20199218002,8.247,2.0814
curve_0022,10.1051/e3sconf/20199218002,8.338,2.0842
curve_0022,10.1051/e3sconf/20199218002,8.43,2.0866
curve_0022,10.1051/e3sconf/20199218002,8.498,2.0884
curve_0022,10.1051/e3sconf/20199218002,8.612,2.0912
curve_0022,10.1051/e3sconf/20199218002,8.68,2.0935
curve_0022,10.1051/e3sconf/20199218002,8.771,2.0954
curve_0022,10.1051/e3sconf/20199218002,8.84,2.0963
curve_0022,10.1051/e3sconf/20199218002,8.931,2.0973
curve_0022,10.1051/e3sconf/20199218002,9.045,2.0982
curve_0022,10.1051/e3sconf/20199218002,9.09,2.0982
curve_0022,10.1051/e3sconf/20199218002,9.136,2.0982
curve_0022,10.1051/e3sconf/20199218002,10.07,2.0754
curve_0022,10.1051/e3sconf/20199218002,10.594,2.0544
curve_0022,10.1051/e3sconf/20199218002,12.463,1.9734
curve_0023,10.21203/rs.3.rs-3065693/v1,3.999,2.0793
curve_0023,10.21203/rs.3.rs-3065693/v1,5.991,2.1065
curve_0023,10.21203/rs.3.rs-3065693/v1,7.983,2.1308
curve_0023,10.21203/rs.3.rs-3065693/v1,9.975,2.0924
curve_0024,10.21203/rs.3.rs-3065693/v1,3.999,1.9852
curve_0024,10.21203/rs.3.rs-3065693/v1,5.991,2.0057
curve_0024,10.21203/rs.3.rs-3065693/v1,7.983,2.0398
curve_0024,10.21203/rs.3.rs-3065693/v1,9.975,2.0096
curve_0025,10.21203/rs.3.rs-3065693/v1,3.999,2.0763
curve_0025,10.21203/rs.3.rs-3065693/v1,4.247,2.0838
curve_0025,10.21203/rs.3.rs-3065693/v1,4.495,2.0898
curve_0025,10.21203/rs.3.rs-3065693/v1,4.743,2.0957
curve_0025,10.21203/rs.3.rs-3065693/v1,4.991,2.1002
curve_0025,10.21203/rs.3.rs-3065693/v1,5.239,2.1047
curve_0025,10.21203/rs.3.rs-3065693/v1,5.487,2.1092
curve_0025,10.21203/rs.3.rs-3065693/v1,5.735,2.1122
curve_0025,10.21203/rs.3.rs-3065693/v1,5.983,2.1152
curve_0025,10.21203/rs.3.rs-3065693/v1,6.231,2.1182
curve_0025,10.21203/rs.3.rs-3065693/v1,6.479,2.1196
curve_0025,10.21203/rs.3.rs-3065693/v1,6.727,2.1211
curve_0025,10.21203/rs.3.rs-3065693/v1,6.975,2.1226
curve_0025,10.21203/rs.3.rs-3065693/v1,7.248,2.1226
curve_0025,10.21203/rs.3.rs-3065693/v1,7.496,2.1226
curve_0025,10.21203/rs.3.rs-3065693/v1,7.744,2.1226
curve_0025,10.21203/rs.3.rs-3065693/v1,7.992,2.1211
curve_0025,10.21203/rs.3.rs-3065693/v1,8.24,2.1196
curve_0025,10.21203/rs.3.rs-3065693/v1,8.488,2.1182
curve_0025,10.21203/rs.3.rs-3065693/v1,8.736,2.1152
curve_0025,10.21203/rs.3.rs-3065693/v1,8.984,2.1122
curve_0025,10.21203/rs.3.rs-3065693/v1,9.232,2.1092
curve_0025,10.21203/rs.3.rs-3065693/v1,9.48,2.1047
curve_0025,10.21203/rs.3.rs-3065693/v1,9.727,2.1002
curve_0025,10.21203/rs.3.rs-3065693/v1,9.975,2.0957
curve_0026,10.21203/rs.3.rs-3065693/v1,3.999,1.9807
curve_0026,10.21203/rs.3.rs-3065693/v1,4.247,1.9867
curve_0026,10.21203/rs.3.rs-3065693/v1,4.495,1.9926
curve_0026,10.21203/rs.3.rs-3065693/v1,4.743,1.9971
curve_0026,10.21203/rs.3.rs-3065693/v1,4.991,2.0031
curve_0026,10.21203/rs.3.rs-3065693/v1,5.239,2.0076
curve_0026,10.21203/rs.3.rs-3065693/v1,5.487,2.0106
curve_0026,10.21203/rs.3.rs-3065693/v1,5.735,2.0151
curve_0026,10.21203/rs.3.rs-3065693/v1,5.983,2.018
curve_0026,10.21203/rs.3.rs-3065693/v1,6.231,2.021
curve_0026,10.21203/rs.3.rs-3065693/v1,6.479,2.0225
curve_0026,10.21203/rs.3.rs-3065693/v1,6.727,2.024
curve_0026,10.21203/rs.3.rs-3065693/v1,6.975,2.0255
curve_0026,10.21203/rs.3.rs-3065693/v1,7.248,2.027
curve_0026,10.21203/rs.3.rs-3065693/v1,7.496,2.0285
curve_0026,10.21203/rs.3.rs-3065693/v1,7.744,2.0285
curve_0026,10.21203/rs.3.rs-3065693/v1,7.992,2.0285
curve_0026,10.21203/rs.3.rs-3065693/v1,8.24,2.0285
curve_0026,10.21203/rs.3.rs-3065693/v1,8.488,2.027
curve_0026,10.21203/rs.3.rs-3065693/v1,8.736,2.0255
curve_0026,10.21203/rs.3.rs-3065693/v1,8.984,2.024
